iter	RMSE
0	1703.238424
1	1621.941216
2	1546.22125
3	1477.416373
4	1414.081032
5	1359.133615
6	1308.179348
7	1260.431936
8	1216.987608
9	1177.108321
10	1141.563003
11	1109.993307
12	1080.922713
13	1054.962676
14	1031.5655
15	1008.178721
16	987.9030686
17	968.9058463
18	951.1431077
19	935.7263672
20	922.0259794
21	908.163574
22	896.9039272
23	886.9273527
24	877.0601083
25	867.4505387
26	858.9037355
27	850.6516616
28	843.6981991
29	838.2454545
30	831.4221512
31	825.8792011
32	820.6816829
33	816.3319633
34	812.1879542
35	808.2973021
36	802.8369243
37	799.6440792
38	796.1165641
39	792.7812726
40	788.9746901
41	785.6071312
42	782.9813017
43	780.2547967
44	777.2864015
45	774.3832356
46	771.8392143
47	769.6583828
48	767.7043842
49	765.9474457
50	764.1716733
51	762.4664014
52	760.9098699
53	759.2751596
54	757.9778083
55	756.7276384
56	755.4551066
57	754.1944621
58	753.062899
59	751.3392083
60	750.2073113
61	748.8989264
62	747.674665
63	746.299781
64	745.5261643
65	744.2443582
66	743.5601896
67	742.80319
68	741.7238699
69	741.1183351
70	740.3560612
71	739.5951715
72	735.309223
73	734.3569864
74	733.7079714
75	732.988242
76	732.0472128
77	730.3155325
78	729.6175103
79	726.6473046
80	726.1117372
81	725.3997774
82	724.6923044
83	724.2182004
84	723.6007137
85	722.9306685
86	720.6981996
87	720.0727399
88	719.3496525
89	718.9167465
90	718.4764788
91	717.9957093
92	717.2111479
93	716.8924284
94	716.5092184
95	716.1408226
96	715.7382429
97	715.4893663
98	715.0544362
99	714.4526605
100	713.6475954
101	712.1707647
102	709.2745246
103	708.6047867
104	708.1247643
105	706.6340953
106	705.9190457
107	705.5675776
108	701.7445757
109	701.1302416
110	700.9089758
111	700.1828947
112	699.8685181
113	699.5070379
114	699.3772575
115	697.6026049
116	697.2812689
117	696.1631103
118	695.473911
119	694.8949267
120	694.233297
121	693.7145192
122	692.7181086
123	692.3484771
124	689.6986565
125	689.6326157
126	687.6607875
127	686.6872267
128	685.8397859
129	684.6300749
130	684.1457435
131	683.8352493
132	683.6131808
133	683.4362284
134	683.058369
135	681.5236265
136	681.0643838
137	680.0564174
138	679.7911207
139	679.5081093
140	678.7730897
141	678.572508
142	678.3279975
143	678.080132
144	677.5624559
145	676.2460839
146	675.5190658
147	675.0701881
148	674.6899948
149	674.4302185
150	673.8407708
151	673.4376673
152	673.1910818
153	672.997519
154	672.7868994
155	672.3238956
156	671.9960651
157	671.3590214
158	669.3675811
159	668.2194841
160	667.5656384
161	667.3727004
162	666.2174622
163	666.2110182
164	665.9577773
165	664.4980589
166	664.291048
167	663.944479
168	663.574778
169	663.2728572
170	663.0123665
171	661.998574
172	660.4733763
173	660.4146491
174	659.9573373
175	659.1494018
176	658.9866925
177	658.6624366
178	658.4397575
179	658.200716
180	657.8359098
181	657.7556587
182	657.5649726
183	657.494818
184	657.3718473
185	657.2451036
186	657.0182928
187	656.8254608
188	656.7228067
189	656.5799374
190	655.3034988
191	655.0828728
192	653.8191689
193	652.8750158
194	652.5994148
195	651.6261341
196	650.7011531
197	650.471752
198	648.0189389
199	647.7526724
200	647.5200196
201	647.0165049
202	646.2139028
203	645.0389735
204	644.1670062
205	643.4946842
206	643.3668891
207	643.0899693
208	642.8556932
209	642.2386976
210	641.8783686
211	641.7054504
212	640.6697465
213	640.4066935
214	639.5180738
215	638.9768708
216	638.6817827
217	638.5033469
218	637.2698427
219	636.6053564
220	636.3747787
221	635.9209453
222	635.3847298
223	634.835853
224	633.9517036
225	633.5304751
226	633.2202663
227	633.0940021
228	633.0573104
229	632.8075125
230	632.544005
231	632.2597491
232	631.4028117
233	631.3015083
234	630.4880774
235	629.7702489
236	629.3783512
237	628.6974072
238	627.1989384
239	626.9170488
240	626.5996431
241	626.1495166
242	625.6857545
243	625.0008807
244	624.8496811
245	624.5458845
246	624.0857373
247	623.8338286
248	623.6084835
249	623.4576594
250	622.8915021
251	621.5578495
252	621.2329627
253	620.6880128
254	620.5364688
255	620.3286028
256	619.510455
257	619.480022
258	619.0262203
259	618.3272281
260	618.0250149
261	617.021921
262	616.5663159
263	616.4685927
264	616.059826
265	615.657694
266	615.5469369
267	615.0754035
268	614.7762944
269	614.5421473
270	613.8261073
271	613.678749
272	613.4589415
273	613.2293748
274	612.8838384
275	612.5979481
276	612.5779807
277	612.339988
278	611.5444653
279	611.3885617
280	611.0365664
281	610.8572093
282	610.682647
283	610.1760615
284	609.9260349
285	609.6617545
286	609.4847514
287	609.0574325
288	608.9104005
289	608.7518549
290	608.6400344
291	607.7687591
292	607.6027281
293	606.9357529
294	606.6872594
295	606.4497569
296	606.1723067
297	605.3905155
298	605.0910793
299	604.8315224
300	604.5567879
301	604.3439803
302	603.9390791
303	603.7880829
304	603.396652
305	603.1675174
306	602.8620461
307	602.2082992
308	601.1879081
309	600.8591657
310	600.7738094
311	600.1839913
312	599.9209215
313	599.6530102
314	599.5020636
315	598.978708
316	598.7432502
317	598.6349452
318	598.2616365
319	597.9639425
320	597.8766041
321	597.838897
322	597.5024707
323	597.0137415
324	596.6923221
325	596.6820007
326	596.381383
327	596.3545936
328	596.301474
329	596.1840715
330	595.413292
331	595.2361416
332	594.7613447
333	594.6889101
334	594.4837592
335	594.3893274
336	594.1561509
337	593.6556645
338	593.2459024
339	593.0465559
340	592.9333374
341	592.9212193
342	592.4239373
343	592.3873914
344	592.2657788
345	592.1305699
346	592.0617493
347	591.9645843
348	591.4496008
349	591.0695541
350	591.0331104
351	590.6973528
352	590.5878401
353	590.4326801
354	590.3613956
355	590.2740444
356	589.8763275
357	589.4689372
358	589.3727449
359	588.9168013
360	588.8441996
361	588.2301119
362	587.8137383
363	587.6991951
364	587.3675957
365	587.175568
366	587.0353397
367	586.5111977
368	586.4847289
369	586.0918199
370	585.7865491
371	585.3745105
372	585.1189386
373	584.5670092
374	584.3305293
375	584.2792419
376	583.9641222
377	582.9966783
378	582.961243
379	582.6032646
380	582.4608979
381	582.1013835
382	581.7382178
383	581.6528577
384	581.6215952
385	581.3887382
386	581.2057325
387	581.046748
388	581.0276462
389	580.664134
390	580.3187598
391	580.2702147
392	580.1699425
393	579.8195239
394	579.4740991
395	579.0904518
396	578.8035583
