iter	Passed	Remaining
0	64	63946
1	74	36929
2	82	27336
3	89	22350
4	95	18954
5	101	16822
6	106	15168
7	111	13861
8	116	12843
9	121	12032
10	126	11404
11	131	10857
12	136	10371
13	141	9973
14	146	9639
15	151	9345
16	157	9096
17	162	8864
18	167	8637
19	171	8422
20	179	8354
21	186	8296
22	192	8192
23	197	8043
24	202	7884
25	206	7751
26	214	7718
27	220	7644
28	225	7562
29	230	7457
30	235	7369
31	240	7285
32	245	7193
33	251	7138
34	256	7085
35	262	7033
36	268	7000
37	274	6941
38	278	6862
39	284	6827
40	289	6766
41	293	6700
42	298	6639
43	303	6584
44	307	6523
45	313	6505
46	318	6460
47	323	6418
48	329	6385
49	337	6414
50	344	6403
51	350	6388
52	354	6340
53	361	6333
54	367	6321
55	372	6276
56	378	6268
57	388	6306
58	394	6296
59	399	6254
60	405	6239
61	411	6223
62	419	6233
63	424	6202
64	429	6185
65	434	6147
66	439	6126
67	447	6135
68	455	6147
69	462	6140
70	471	6175
71	479	6176
72	485	6164
73	493	6179
74	500	6174
75	506	6162
76	514	6170
77	524	6202
78	531	6198
79	541	6230
80	549	6238
81	555	6223
82	561	6203
83	567	6183
84	571	6150
85	578	6143
86	583	6123
87	589	6108
88	593	6079
89	599	6064
90	604	6042
91	610	6024
92	614	5995
93	620	5980
94	626	5969
95	631	5944
96	637	5932
97	643	5920
98	647	5894
99	652	5876
100	658	5861
101	663	5838
102	668	5821
103	673	5805
104	680	5801
105	685	5781
106	691	5769
107	699	5780
108	704	5761
109	709	5741
110	714	5726
111	720	5710
112	723	5680
113	728	5659
114	732	5636
115	737	5623
116	743	5610
117	749	5599
118	754	5583
119	759	5568
120	762	5541
121	768	5530
122	772	5511
123	777	5489
124	782	5475
125	785	5451
126	790	5432
127	796	5426
128	802	5416
129	807	5401
130	812	5390
131	818	5383
132	823	5370
133	829	5362
134	835	5350
135	840	5341
136	845	5324
137	850	5314
138	856	5302
139	860	5287
140	863	5262
141	868	5245
142	875	5248
143	880	5236
144	884	5217
145	890	5205
146	895	5198
147	901	5188
148	907	5182
149	913	5175
150	918	5164
151	923	5152
152	928	5142
153	934	5131
154	940	5124
155	945	5116
156	950	5105
157	956	5097
158	962	5091
159	971	5099
160	976	5089
161	981	5079
162	987	5071
163	989	5045
164	994	5033
165	1000	5028
166	1006	5019
167	1012	5012
168	1017	5004
169	1022	4992
170	1028	4987
171	1034	4981
172	1040	4972
173	1047	4970
174	1053	4964
175	1058	4953
176	1064	4950
177	1071	4949
178	1078	4948
179	1084	4942
180	1090	4934
181	1096	4930
182	1102	4921
183	1108	4915
184	1114	4908
185	1119	4897
186	1124	4890
187	1128	4875
188	1134	4866
189	1138	4853
190	1144	4847
191	1149	4837
192	1154	4828
193	1160	4820
194	1166	4815
195	1172	4808
196	1179	4806
197	1185	4803
198	1191	4795
199	1195	4782
200	1200	4771
201	1205	4762
202	1210	4753
203	1215	4742
204	1221	4735
205	1226	4727
206	1233	4724
207	1238	4716
208	1244	4710
209	1250	4702
210	1258	4705
211	1264	4700
212	1269	4689
213	1275	4684
214	1281	4679
215	1289	4679
216	1296	4679
217	1305	4683
218	1311	4678
219	1319	4678
220	1326	4674
221	1332	4669
222	1336	4657
223	1341	4648
224	1347	4640
225	1353	4634
226	1359	4629
227	1364	4619
228	1370	4613
229	1377	4611
230	1382	4601
231	1386	4590
232	1392	4585
233	1400	4583
234	1405	4575
235	1411	4568
236	1416	4559
237	1423	4558
238	1428	4549
239	1433	4538
240	1438	4528
241	1443	4522
242	1450	4519
243	1455	4510
244	1462	4506
245	1468	4499
246	1472	4490
247	1477	4478
248	1483	4473
249	1489	4468
250	1494	4460
251	1498	4448
252	1503	4439
253	1508	4430
254	1512	4418
255	1515	4404
256	1519	4391
257	1523	4382
258	1528	4372
259	1534	4367
260	1538	4357
261	1544	4350
262	1549	4341
263	1555	4336
264	1560	4329
265	1564	4318
266	1571	4315
267	1577	4309
268	1584	4306
269	1592	4305
270	1596	4295
271	1600	4283
272	1604	4272
273	1610	4268
